id;artist;album
UAAxRBo4PsQ;saba;care for me
x7lQBFEURZY;sons of kemet;your queen is a reptile
x9e_8zRuuO8;kali uchis;isolation
pf0hDdf2QJc;flatbush zombies;vacation in hell
mxMQEy8sQJI;cardi b;invasion of privacy
vdHxMQtIHic;lil xan;total xanarchy
ug1VSZ0tsUI;ruin;plague transmissions vol. 1 compilation
m8PBrunDIfI;kacey musgraves;golden hour
om3JC1JSdnI;jean grae x quelle chris;everything's fine
LIMy-Bp353E;czarface & mf doom;czarface meets metal face
3CrD91zHkLg;the voidz;virtue
O9valpIpGaU;the weeknd;my dear melancholy, ep
05AewlnZfE4;superorganism;titled
2akyCFh6DOg;preoccupations;new material
P32evYxRvTA;prhyme;prhyme 2
GyXofB1k24A;jack white;boarding house reach
AhVPv5q9Ik8;mount eerie;now only
L4LIeT2rxCg;wendy's;we beefin? not good
L4LIeT2rxCg;wendy;- we beefin?
iXiIx4DKKbs;keiji haino + sumac;american dollar bill
h4d-M5jbx8Q;the neighbourhood;titled
0Z9n4DNNsy8;judas priest;firepower
UHn-uNjJAoY;young fathers;cocoa sugar
gWUdEgaTdo8;xxxtentacion;?
guuWxHnQZf4;remo drive;pop music ep
7TABeq5TLGY;natalia lafourcade;musas vol. 2
Kh2_xvw3LUA;david byrne;american utopia
CCJZO4I2SS8;lil yachty;lil boat 2
zvh62IPMCuo;logic;bobby tarantino ii mixtape
0dVNV1Q5jjU;anna von hausswolff;dead magic
iSK2hb2z0us;titus andronicus;a productive cough
tLWPSqE0DC4;andrew w.k.;you're not alone
6VJulC5QLhY;tory lanez;memories don't die
hE0DlvHdwuA;rejjie snow;dear annie
m80fpwG_GGA;turnstile;time & space
2WiS99Qukxc;a.a.l (against all logic);2017
fPZwOG2RcFU;sob x rbe;gangin
aVDeTMPuyDM;screaming females;all at once
kkDCuMYeX8I;6ix9ine;day69 mixtape
6qC-ZLOK-8Y;u.s. girls;in a poem unlimited
le1lEwOXQq0;kero kero bonito;totep ep
ViAn7COdDqo;ought;room inside the world
EcFJbKJxjDA;car seat headrest;twin fantasy (face to face)
6Z8yUX3JE-c;ravyn lenae;crush ep
TcMeRrIJe1M;various artists;black panther the
slBC3h48xgQ;daymé arocena;cubafonía
eQ3Wd60Qddw;mgmt;little dark age
DpXe5kbKVtM;tribulation;down below
rz7KzrrAbzo;tiny moving parts;swell
3DEtgItwWt0;no age;snares like a haircut
