url;id;title
/watch?v=UAOZoA_9pQE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=115;UAOZoA_9pQE;Converge - Jane Doe ALBUM REVIEW
/watch?v=dCdMYNbK8Vs&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=116;dCdMYNbK8Vs;Talk Talk - Laughing Stock ALBUM REVIEW
/watch?v=pdndmLXJT9w&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=117;pdndmLXJT9w;Janet Jackson - The Velvet Rope ALBUM REVIEW
/watch?v=MKLoi1uD35M&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=118;MKLoi1uD35M;Nickthony Nametano 2019: A Supercut
/watch?v=q8wm4QFCqhE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=119;q8wm4QFCqhE;Top 50 Albums of 2019
/watch?v=sWSdboVgeek&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=120;sWSdboVgeek;Top 50 Singles of 2019
/watch?v=9K7JoChJEww&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=121;9K7JoChJEww;10 Worst Albums of 2019
/watch?v=ankJslr42AA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=122;ankJslr42AA;10 Worst Singles of 2019
/watch?v=yfCgjZ2_4TE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=123;yfCgjZ2_4TE;Top 15 EPs of 2019
/watch?v=Ml0GPxwZtw8&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=124;Ml0GPxwZtw8;Honorable Mentions of 2019
/watch?v=jKw0RVvH94A&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=125;jKw0RVvH94A;Harry Styles - Fine Line ALBUM REVIEW
/watch?v=GLyTw0trKM0&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=126;GLyTw0trKM0;glass beach - the first glass beach album ALBUM REVIEW
/watch?v=zX1r4cczTT0&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=127;zX1r4cczTT0;ECCO2K - E ALBUM REVIEW
/watch?v=X0f_8M1jinE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=128;X0f_8M1jinE;Uncommon Nasa & Kount Fif - City as School ALBUM REVIEW
/watch?v=NFap7zUpzOg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=129;NFap7zUpzOg;Cattle Decapitation - Death Atlas ALBUM REVIEW
/watch?v=VyzhfhARDr0&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=130;VyzhfhARDr0;XXXTentacion's Bad Vibes Forever: NOT GOOD
/watch?v=xF2BvFkMieA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=131;xF2BvFkMieA;Griselda - WWCD ALBUM REVIEW
/watch?v=qVRu3jYZ_uc&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=132;qVRu3jYZ_uc;Weekly Track Roundup: 12/8 (Tame Impala, The Weeknd, Grimes, Harry Styles)
/watch?v=IJnUpM5wrIQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=133;IJnUpM5wrIQ;Hannah Diamond - Reflections ALBUM REVIEW
/watch?v=CafRD-uvYXs&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=134;CafRD-uvYXs;Lim Kim - Generasian EP REVIEW
/watch?v=5c9VDBG5Epw&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=135;5c9VDBG5Epw;Beck - Hyperspace ALBUM REVIEW
/watch?v=jeFLQSy2uFQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=136;jeFLQSy2uFQ;TNGHT - II EP REVIEW
/watch?v=P-A-j2rlsvo&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=137;P-A-j2rlsvo;Yazz Ahmed - Polyhymnia ALBUM REVIEW
/watch?v=_O0UrJG9J0A&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=138;_O0UrJG9J0A;Trippie Redd - A Love Letter to You 4 MIXTAPE REVIEW
